
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 2000
====== Angle Number  1 of 8: 0
====== Angle Number  2 of 8: 2.571429e+01
====== Angle Number  3 of 8: 5.142857e+01
====== Angle Number  4 of 8: 7.714286e+01
====== Angle Number  5 of 8: 1.028571e+02
====== Angle Number  6 of 8: 1.285714e+02
====== Angle Number  7 of 8: 1.542857e+02
====== Angle Number  8 of 8: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> ============================ Attenuation Transmission Reconstruction
   2      3     11    2.81681288e-06   1.7e-05     1.0e+00      4.139e+00
   3      4     14    1.90610580e-06   4.1e-06     1.0e+00      4.134e+00
   4      5     24    9.81269131e-07   1.5e-06     1.0e+00      4.134e+00
   5      6     32    8.11047313e-07   1.5e-06     1.0e+00      4.130e+00
   6      7     42    6.84673431e-07   1.3e-06     1.0e+00      4.132e+00
   7      8     51    6.06625610e-07   5.7e-07     1.0e+00      4.122e+00
   8      9     61    5.42826922e-07   2.2e-06     1.0e+00      4.122e+00
   9     10     70    4.94197547e-07   4.7e-07     1.0e+00      4.114e+00
  10     11     80    4.39356210e-07   2.9e-06     1.0e+00      4.114e+00
LMQNBC: termination 5
============================ Fluorescence Reconstruction
  it     nf     cg           f             |g|      alpha        error
   0      1      0    8.70476823e-01   8.3e+00     1.0e+00      3.685e-01
   1      2     10    8.69196710e-01   3.7e+00     1.0e+00      3.685e-01
   2      3     20    8.68012875e-01   8.2e+00     1.0e+00      3.684e-01
   3      4     30    8.66852684e-01   3.7e+00     1.0e+00      3.683e-01
   4      5     40    8.65714075e-01   8.1e+00     1.0e+00      3.682e-01
   5      6     50    8.64593671e-01   3.6e+00     1.0e+00      3.682e-01
   6      7     60    8.63491402e-01   7.9e+00     1.0e+00      3.681e-01
   7      8     70    8.62405801e-01   3.5e+00     1.0e+00      3.680e-01
   8      9     80    8.61336797e-01   7.8e+00     1.0e+00      3.679e-01
   9     10     90    8.60283346e-01   3.5e+00     1.0e+00      3.678e-01
  10     11    100    8.59245357e-01   7.7e+00     1.0e+00      3.677e-01
  11     12    110    8.58221981e-01   3.4e+00     1.0e+00      3.677e-01
  12     13    120    8.57213125e-01   7.6e+00     1.0e+00      3.676e-01
  13     14    130    8.56218056e-01   3.4e+00     1.0e+00      3.675e-01
  14     15    140    8.55236686e-01   7.5e+00     1.0e+00      3.674e-01
  15     16    150    8.54268366e-01   3.3e+00     1.0e+00      3.674e-01
  16     17    160    8.53313013e-01   7.4e+00     1.0e+00      3.673e-01
  17     18    170    8.52370044e-01   3.3e+00     1.0e+00      3.672e-01
  18     19    180    8.51439382e-01   7.3e+00     1.0e+00      3.671e-01
  19     20    190    8.50520499e-01   3.2e+00     1.0e+00      3.670e-01
  20     21    200    8.49613324e-01   7.2e+00     1.0e+00      3.669e-01
  21     22    210    8.48717374e-01   3.2e+00     1.0e+00      3.669e-01
  22     23    220    8.47832585e-01   7.1e+00     1.0e+00      3.668e-01
  23     24    230    8.46958513e-01   3.1e+00     1.0e+00      3.667e-01
  24     25    240    8.46095102e-01   7.0e+00     1.0e+00      3.666e-01
  25     26    250    8.45241939e-01   3.1e+00     1.0e+00      3.666e-01
  26     27    260    8.44398974e-01   6.9e+00     1.0e+00      3.665e-01
