
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 32
>> >> >> >> >> >> ===================== 15
Elapsed time is 1.094699 seconds.
Elapsed time is 1.096330 seconds.
ans =
     0
Elapsed time is 1.096574 seconds.
  it     nf     cg           f             |g|      alpha        error
 141    267   1340    2.13262739e+01   3.6e-02     1.0e+00      8.812e+01
 142    268   1347    2.12991159e+01   3.1e-02     1.0e+00      8.831e+01
 143    269   1357    2.12470324e+01   1.3e-01     1.0e+00      9.071e+01
 144    270   1363    2.12010014e+01   8.5e-02     1.0e+00      9.083e+01
 145    271   1373    2.11818295e+01   1.5e-01     1.0e+00      9.231e+01
 146    272   1375    2.11596405e+01   1.1e-01     1.0e+00      9.231e+01
 147    273   1380    2.11392313e+01   4.4e-02     1.0e+00      9.240e+01
 148    274   1390    2.11069253e+01   9.9e-02     1.0e+00      9.376e+01
 149    275   1396    2.10845203e+01   6.4e-02     1.0e+00      9.388e+01
 150    276   1406    2.10588767e+01   6.6e-02     1.0e+00      9.486e+01
 151    277   1416    2.10360405e+01   8.9e-02     1.0e+00      9.519e+01
 152    278   1426    2.10185762e+01   6.3e-02     1.0e+00      9.582e+01
 153    279   1431    2.10072042e+01   4.5e-02     1.0e+00      9.588e+01
 154    281   1441    2.09631120e+01   3.9e-02     1.4e-01      9.715e+01
 155    282   1451    2.09432230e+01   9.3e-02     1.0e+00      9.799e+01
 156    283   1461    2.09232274e+01   2.1e-02     1.0e+00      9.824e+01
 157    284   1471    2.09076990e+01   6.4e-02     1.0e+00      9.887e+01
 158    285   1480    2.08931777e+01   3.3e-02     1.0e+00      9.907e+01
 159    286   1490    2.08733797e+01   6.2e-02     1.0e+00      9.998e+01
 160    287   1495    2.08588766e+01   4.8e-02     1.0e+00      1.000e+02
 161    288   1505    2.08333576e+01   4.3e-02     1.0e+00      1.013e+02
 162    289   1511    2.08112111e+01   3.9e-02     1.0e+00      1.014e+02
 163    290   1521    2.07623585e+01   9.3e-02     1.0e+00      1.048e+02
 164    291   1525    2.07097814e+01   6.6e-02     1.0e+00      1.048e+02
 165    292   1531    2.06960886e+01   4.6e-02     1.0e+00      1.049e+02
 166    293   1541    2.06752975e+01   7.4e-02     1.0e+00      1.059e+02
 167    294   1546    2.06590089e+01   3.0e-02     1.0e+00      1.060e+02
 168    295   1556    2.06465624e+01   1.5e-01     1.0e+00      1.077e+02
 169    296   1559    2.06119378e+01   5.9e-02     1.0e+00      1.077e+02
 170    297   1566    2.05985806e+01   2.1e-02     1.0e+00      1.078e+02
 171    298   1576    2.05735871e+01   6.8e-02     1.0e+00      1.093e+02
 172    299   1580    2.05567301e+01   5.6e-02     1.0e+00      1.093e+02
 173    300   1590    2.05416636e+01   2.6e-02     1.0e+00      1.097e+02
 174    301   1600    2.05298158e+01   3.5e-02     1.0e+00      1.101e+02
 175    302   1610    2.05191126e+01   2.9e-02     1.0e+00      1.103e+02
 176    303   1620    2.05089273e+01   3.2e-02     1.0e+00      1.107e+02
 177    304   1630    2.04988916e+01   2.7e-02     1.0e+00      1.110e+02
 178    305   1640    2.04890061e+01   2.9e-02     1.0e+00      1.113e+02
