
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== With Self Absorption, Transmission Detector Resolution is 16
====== Fluorescence Detector Resolution is 32
>> >> >> >> >> >> ===================== 15
Elapsed time is 1.094699 seconds.
Elapsed time is 1.096330 seconds.
ans =
     0
Elapsed time is 1.096574 seconds.
  it     nf     cg           f             |g|      alpha        error
 700    827   6815    1.89426336e+01   1.2e-02     1.0e+00      2.217e+02
 701    828   6825    1.89423018e+01   4.2e-03     1.0e+00      2.217e+02
 702    829   6835    1.89419704e+01   1.3e-02     1.0e+00      2.218e+02
 703    830   6845    1.89416400e+01   4.2e-03     1.0e+00      2.219e+02
 704    831   6855    1.89413099e+01   1.3e-02     1.0e+00      2.220e+02
 705    832   6865    1.89409808e+01   4.2e-03     1.0e+00      2.220e+02
 706    833   6875    1.89406520e+01   1.3e-02     1.0e+00      2.221e+02
 707    834   6885    1.89403243e+01   4.2e-03     1.0e+00      2.222e+02
 708    835   6895    1.89399969e+01   1.3e-02     1.0e+00      2.222e+02
 709    836   6905    1.89396706e+01   4.2e-03     1.0e+00      2.223e+02
 710    837   6915    1.89393446e+01   1.3e-02     1.0e+00      2.224e+02
 711    838   6925    1.89390195e+01   4.1e-03     1.0e+00      2.224e+02
 712    839   6935    1.89386948e+01   1.3e-02     1.0e+00      2.225e+02
 713    840   6945    1.89383710e+01   4.1e-03     1.0e+00      2.226e+02
 714    841   6955    1.89380474e+01   1.3e-02     1.0e+00      2.227e+02
 715    842   6959    1.89378905e+01   5.2e-03     1.0e+00      2.227e+02
 716    843   6969    1.89373205e+01   8.3e-03     1.0e+00      2.229e+02
 717    844   6973    1.89368633e+01   4.5e-03     1.0e+00      2.229e+02
 718    845   6983    1.89359445e+01   7.1e-03     1.0e+00      2.233e+02
 719    846   6987    1.89351358e+01   1.2e-02     1.0e+00      2.233e+02
 720    847   6997    1.89266627e+01   2.4e-02     1.0e+00      2.271e+02
 721    848   7000    1.89202321e+01   2.4e-02     1.0e+00      2.271e+02
 722    849   7004    1.89191291e+01   4.6e-03     1.0e+00      2.271e+02
 723    850   7010    1.89188287e+01   2.9e-03     1.0e+00      2.271e+02
 724    851   7020    1.89179071e+01   1.1e-02     1.0e+00      2.276e+02
 725    852   7025    1.89171238e+01   9.6e-03     1.0e+00      2.276e+02
 726    853   7035    1.89167820e+01   6.0e-03     1.0e+00      2.277e+02
 727    854   7042    1.89165330e+01   4.8e-03     1.0e+00      2.277e+02
 728    855   7052    1.89155240e+01   1.9e-02     1.0e+00      2.281e+02
 729    856   7055    1.89147539e+01   4.1e-03     1.0e+00      2.281e+02
 730    857   7061    1.89145455e+01   3.3e-03     1.0e+00      2.281e+02
 731    858   7071    1.89138111e+01   9.5e-03     1.0e+00      2.285e+02
 732    859   7077    1.89131777e+01   6.6e-03     1.0e+00      2.285e+02
 733    860   7087    1.89127114e+01   1.2e-02     1.0e+00      2.286e+02
 734    861   7095    1.89123162e+01   7.3e-03     1.0e+00      2.287e+02
 735    862   7105    1.89119940e+01   9.0e-03     1.0e+00      2.288e+02
 736    863   7113    1.89117086e+01   2.8e-03     1.0e+00      2.288e+02
 737    864   7123    1.89110347e+01   7.5e-03     1.0e+00      2.291e+02
 738    865   7128    1.89104713e+01   8.0e-03     1.0e+00      2.291e+02
 739    866   7138    1.89101540e+01   5.1e-03     1.0e+00      2.292e+02
 740    867   7144    1.89099107e+01   7.4e-03     1.0e+00      2.292e+02
 741    868   7154    1.89089929e+01   1.5e-02     1.0e+00      2.296e+02
 742    869   7158    1.89083344e+01   4.6e-03     1.0e+00      2.296e+02
 743    870   7168    1.89079637e+01   9.0e-03     1.0e+00      2.297e+02
 744    871   7170    1.89079093e+01   2.7e-03     1.0e+00      2.297e+02
 745    872   7180    1.89074151e+01   7.3e-03     1.0e+00      2.299e+02
 746    873   7184    1.89071768e+01   9.9e-03     1.0e+00      2.299e+02
 747    874   7193    1.89068774e+01   2.8e-03     1.0e+00      2.299e+02
 748    875   7203    1.89064195e+01   7.6e-03     1.0e+00      2.301e+02
 749    876   7205    1.89063021e+01   1.1e-02     1.0e+00      2.301e+02
 750    877   7215    1.89059302e+01   3.1e-03     1.0e+00      2.302e+02
 751    878   7225    1.89055896e+01   2.6e-03     1.0e+00      2.303e+02
 752    879   7235    1.89052705e+01   2.7e-03     1.0e+00      2.303e+02
 753    880   7245    1.89049768e+01   2.9e-03     1.0e+00      2.304e+02
 754    881   7255    1.89046951e+01   3.3e-03     1.0e+00      2.305e+02
 755    882   7265    1.89044480e+01   3.4e-03     1.0e+00      2.305e+02
 756    883   7275    1.89042142e+01   3.8e-03     1.0e+00      2.306e+02
 757    884   7285    1.89039951e+01   3.8e-03     1.0e+00      2.306e+02
 758    885   7295    1.89037782e+01   3.8e-03     1.0e+00      2.307e+02
 759    886   7305    1.89035629e+01   3.8e-03     1.0e+00      2.307e+02
 760    887   7315    1.89033482e+01   3.8e-03     1.0e+00      2.308e+02
 761    888   7325    1.89031340e+01   3.8e-03     1.0e+00      2.308e+02
 762    889   7335    1.89029203e+01   3.8e-03     1.0e+00      2.309e+02
 763    890   7345    1.89027066e+01   4.3e-03     1.0e+00      2.309e+02
 764    891   7355    1.89024933e+01   3.8e-03     1.0e+00      2.310e+02
 765    892   7365    1.89022795e+01   5.3e-03     1.0e+00      2.310e+02
 766    893   7375    1.89020661e+01   3.8e-03     1.0e+00      2.311e+02
 767    894   7385    1.89018512e+01   6.9e-03     1.0e+00      2.311e+02
 768    895   7395    1.89016366e+01   3.8e-03     1.0e+00      2.312e+02
 769    896   7405    1.89014192e+01   8.9e-03     1.0e+00      2.312e+02
 770    897   7415    1.89012022e+01   3.7e-03     1.0e+00      2.313e+02
 771    898   7425    1.89009827e+01   1.0e-02     1.0e+00      2.313e+02
 772    899   7435    1.89007635e+01   3.8e-03     1.0e+00      2.314e+02
 773    900   7445    1.89005430e+01   1.1e-02     1.0e+00      2.314e+02
 774    901   7455    1.89003228e+01   3.6e-03     1.0e+00      2.315e+02
 775    902   7465    1.89001021e+01   1.1e-02     1.0e+00      2.315e+02
 776    903   7475    1.88998819e+01   3.9e-03     1.0e+00      2.316e+02
 777    904   7485    1.88996620e+01   1.1e-02     1.0e+00      2.316e+02
 778    905   7495    1.88994425e+01   3.7e-03     1.0e+00      2.317e+02
 779    906   7505    1.88992235e+01   1.1e-02     1.0e+00      2.317e+02
 780    907   7515    1.88990048e+01   3.9e-03     1.0e+00      2.318e+02
 781    908   7525    1.88987860e+01   1.2e-02     1.0e+00      2.318e+02
 782    909   7535    1.88985675e+01   3.9e-03     1.0e+00      2.319e+02
 783    910   7545    1.88983491e+01   1.2e-02     1.0e+00      2.320e+02
 784    911   7555    1.88981310e+01   3.9e-03     1.0e+00      2.320e+02
 785    912   7565    1.88979130e+01   1.2e-02     1.0e+00      2.321e+02
 786    913   7575    1.88976953e+01   3.9e-03     1.0e+00      2.321e+02
 787    914   7585    1.88974778e+01   1.2e-02     1.0e+00      2.322e+02
 788    915   7595    1.88972607e+01   3.9e-03     1.0e+00      2.322e+02
 789    916   7605    1.88970438e+01   1.2e-02     1.0e+00      2.323e+02
 790    917   7615    1.88968272e+01   3.9e-03     1.0e+00      2.323e+02
 791    918   7625    1.88966108e+01   1.2e-02     1.0e+00      2.324e+02
 792    919   7635    1.88963947e+01   3.8e-03     1.0e+00      2.324e+02
 793    920   7645    1.88961789e+01   1.2e-02     1.0e+00      2.325e+02
 794    921   7655    1.88959634e+01   3.8e-03     1.0e+00      2.325e+02
 795    922   7665    1.88957482e+01   1.2e-02     1.0e+00      2.326e+02
 796    923   7675    1.88955333e+01   3.8e-03     1.0e+00      2.326e+02
 797    924   7685    1.88953186e+01   1.2e-02     1.0e+00      2.327e+02
 798    925   7695    1.88951041e+01   3.8e-03     1.0e+00      2.327e+02
 799    926   7705    1.88948900e+01   1.2e-02     1.0e+00      2.328e+02
 800    927   7715    1.88946761e+01   3.8e-03     1.0e+00      2.328e+02
 801    928   7725    1.88944624e+01   1.2e-02     1.0e+00      2.329e+02
 802    929   7735    1.88942491e+01   3.8e-03     1.0e+00      2.329e+02
 803    930   7745    1.88940360e+01   1.2e-02     1.0e+00      2.330e+02
 804    931   7755    1.88938232e+01   3.8e-03     1.0e+00      2.330e+02
 805    932   7765    1.88936107e+01   1.2e-02     1.0e+00      2.331e+02
 806    933   7775    1.88933984e+01   3.8e-03     1.0e+00      2.331e+02
 807    934   7785    1.88931864e+01   1.2e-02     1.0e+00      2.332e+02
 808    935   7795    1.88929746e+01   3.8e-03     1.0e+00      2.332e+02
 809    936   7805    1.88927631e+01   1.2e-02     1.0e+00      2.332e+02
 810    937   7815    1.88925518e+01   3.8e-03     1.0e+00      2.333e+02
 811    938   7825    1.88923408e+01   1.2e-02     1.0e+00      2.333e+02
 812    939   7835    1.88921301e+01   3.8e-03     1.0e+00      2.334e+02
 813    940   7845    1.88919196e+01   1.2e-02     1.0e+00      2.334e+02
 814    941   7855    1.88917094e+01   3.8e-03     1.0e+00      2.335e+02
 815    942   7865    1.88914993e+01   1.2e-02     1.0e+00      2.335e+02
 816    943   7875    1.88912896e+01   3.8e-03     1.0e+00      2.336e+02
 817    944   7885    1.88910801e+01   1.2e-02     1.0e+00      2.336e+02
 818    945   7895    1.88908708e+01   3.7e-03     1.0e+00      2.337e+02
 819    946   7905    1.88906617e+01   1.2e-02     1.0e+00      2.337e+02
 820    947   7915    1.88904529e+01   3.7e-03     1.0e+00      2.338e+02
 821    948   7925    1.88902443e+01   1.2e-02     1.0e+00      2.338e+02
 822    949   7935    1.88900360e+01   3.7e-03     1.0e+00      2.339e+02
 823    950   7945    1.88898278e+01   1.2e-02     1.0e+00      2.339e+02
 824    951   7955    1.88896200e+01   3.7e-03     1.0e+00      2.340e+02
 825    952   7965    1.88894123e+01   1.2e-02     1.0e+00      2.340e+02
 826    953   7975    1.88892048e+01   3.7e-03     1.0e+00      2.341e+02
 827    954   7985    1.88889975e+01   1.2e-02     1.0e+00      2.341e+02
 828    955   7995    1.88887905e+01   3.7e-03     1.0e+00      2.342e+02
 829    956   8005    1.88885837e+01   1.2e-02     1.0e+00      2.342e+02
 830    957   8015    1.88883771e+01   3.7e-03     1.0e+00      2.343e+02
 831    958   8025    1.88881707e+01   1.2e-02     1.0e+00      2.343e+02
 832    959   8035    1.88879645e+01   3.7e-03     1.0e+00      2.343e+02
 833    960   8045    1.88877585e+01   1.2e-02     1.0e+00      2.344e+02
 834    961   8055    1.88875527e+01   3.7e-03     1.0e+00      2.344e+02
 835    962   8065    1.88873472e+01   1.2e-02     1.0e+00      2.345e+02
 836    963   8075    1.88871418e+01   3.7e-03     1.0e+00      2.345e+02
 837    964   8085    1.88869367e+01   1.2e-02     1.0e+00      2.346e+02
 838    965   8095    1.88867318e+01   3.7e-03     1.0e+00      2.346e+02
 839    966   8105    1.88865270e+01   1.2e-02     1.0e+00      2.347e+02
 840    967   8115    1.88863225e+01   3.7e-03     1.0e+00      2.347e+02
 841    968   8125    1.88861182e+01   1.2e-02     1.0e+00      2.348e+02
 842    969   8135    1.88859140e+01   3.7e-03     1.0e+00      2.348e+02
 843    970   8145    1.88857100e+01   1.2e-02     1.0e+00      2.349e+02
 844    971   8155    1.88855063e+01   3.7e-03     1.0e+00      2.349e+02
 845    972   8165    1.88853027e+01   1.2e-02     1.0e+00      2.350e+02
 846    973   8175    1.88850993e+01   3.6e-03     1.0e+00      2.350e+02
 847    974   8185    1.88848961e+01   1.2e-02     1.0e+00      2.351e+02
 848    975   8195    1.88846931e+01   3.6e-03     1.0e+00      2.351e+02
 849    976   8205    1.88844902e+01   1.2e-02     1.0e+00      2.352e+02
 850    977   8215    1.88842876e+01   3.6e-03     1.0e+00      2.352e+02
 851    978   8225    1.88840850e+01   1.2e-02     1.0e+00      2.352e+02
 852    979   8235    1.88838827e+01   3.6e-03     1.0e+00      2.353e+02
 853    980   8245    1.88836805e+01   1.2e-02     1.0e+00      2.353e+02
 854    981   8255    1.88834785e+01   3.6e-03     1.0e+00      2.354e+02
 855    982   8265    1.88832766e+01   1.2e-02     1.0e+00      2.354e+02
 856    983   8275    1.88830750e+01   3.6e-03     1.0e+00      2.355e+02
 857    984   8285    1.88828734e+01   1.2e-02     1.0e+00      2.355e+02
 858    985   8295    1.88826721e+01   3.6e-03     1.0e+00      2.356e+02
 859    986   8305    1.88824709e+01   1.2e-02     1.0e+00      2.356e+02
 860    987   8315    1.88822700e+01   3.6e-03     1.0e+00      2.356e+02
 861    988   8325    1.88820691e+01   1.3e-02     1.0e+00      2.357e+02
 862    989   8335    1.88818685e+01   3.6e-03     1.0e+00      2.357e+02
 863    990   8345    1.88816679e+01   1.3e-02     1.0e+00      2.358e+02
 864    991   8355    1.88814676e+01   3.6e-03     1.0e+00      2.358e+02
 865    992   8365    1.88812674e+01   1.3e-02     1.0e+00      2.359e+02
 866    993   8375    1.88810673e+01   3.6e-03     1.0e+00      2.359e+02
 867    994   8385    1.88808674e+01   1.3e-02     1.0e+00      2.360e+02
 868    995   8395    1.88806677e+01   3.6e-03     1.0e+00      2.360e+02
 869    996   8405    1.88804681e+01   1.3e-02     1.0e+00      2.361e+02
 870    997   8415    1.88802687e+01   3.6e-03     1.0e+00      2.361e+02
 871    998   8425    1.88800694e+01   1.3e-02     1.0e+00      2.362e+02
 872    999   8435    1.88798703e+01   3.6e-03     1.0e+00      2.362e+02
 873   1000   8445    1.88796713e+01   1.3e-02     1.0e+00      2.362e+02
 874   1001   8455    1.88794724e+01   3.6e-03     1.0e+00      2.363e+02
 875   1002   8465    1.88792737e+01   1.3e-02     1.0e+00      2.363e+02
 876   1003   8475    1.88790751e+01   3.6e-03     1.0e+00      2.364e+02
 877   1004   8485    1.88788766e+01   1.3e-02     1.0e+00      2.364e+02
 878   1005   8495    1.88786783e+01   3.6e-03     1.0e+00      2.365e+02
 879   1006   8505    1.88784801e+01   1.3e-02     1.0e+00      2.365e+02
 880   1007   8515    1.88782821e+01   3.5e-03     1.0e+00      2.366e+02
 881   1008   8525    1.88780841e+01   1.3e-02     1.0e+00      2.366e+02
 882   1009   8535    1.88778863e+01   3.5e-03     1.0e+00      2.366e+02
 883   1010   8545    1.88776886e+01   1.3e-02     1.0e+00      2.367e+02
 884   1011   8555    1.88774911e+01   3.5e-03     1.0e+00      2.367e+02
 885   1012   8565    1.88772936e+01   1.3e-02     1.0e+00      2.368e+02
 886   1013   8575    1.88770964e+01   3.5e-03     1.0e+00      2.368e+02
 887   1014   8585    1.88768992e+01   1.3e-02     1.0e+00      2.369e+02
 888   1015   8595    1.88767022e+01   3.5e-03     1.0e+00      2.369e+02
 889   1016   8605    1.88765052e+01   1.3e-02     1.0e+00      2.370e+02
 890   1017   8615    1.88763084e+01   3.5e-03     1.0e+00      2.370e+02
 891   1018   8625    1.88761116e+01   1.3e-02     1.0e+00      2.371e+02
 892   1019   8635    1.88759150e+01   3.5e-03     1.0e+00      2.371e+02
 893   1020   8645    1.88757184e+01   1.3e-02     1.0e+00      2.371e+02
 894   1021   8655    1.88755220e+01   3.5e-03     1.0e+00      2.372e+02
 895   1022   8665    1.88753257e+01   1.3e-02     1.0e+00      2.372e+02
 896   1023   8675    1.88751295e+01   3.5e-03     1.0e+00      2.373e+02
 897   1024   8685    1.88749333e+01   1.3e-02     1.0e+00      2.373e+02
 898   1025   8695    1.88747373e+01   3.5e-03     1.0e+00      2.374e+02
 899   1026   8705    1.88745413e+01   1.3e-02     1.0e+00      2.374e+02
 900   1027   8715    1.88743454e+01   3.5e-03     1.0e+00      2.374e+02
 901   1028   8725    1.88741496e+01   1.3e-02     1.0e+00      2.375e+02
 902   1029   8735    1.88739539e+01   3.5e-03     1.0e+00      2.375e+02
 903   1030   8745    1.88737582e+01   1.3e-02     1.0e+00      2.376e+02
 904   1031   8755    1.88735626e+01   3.5e-03     1.0e+00      2.376e+02
 905   1032   8765    1.88733671e+01   1.3e-02     1.0e+00      2.377e+02
 906   1033   8775    1.88731718e+01   3.5e-03     1.0e+00      2.377e+02
 907   1034   8785    1.88729764e+01   1.3e-02     1.0e+00      2.378e+02
 908   1035   8795    1.88727812e+01   3.5e-03     1.0e+00      2.378e+02
 909   1036   8805    1.88725861e+01   1.3e-02     1.0e+00      2.378e+02
 910   1037   8815    1.88723910e+01   3.5e-03     1.0e+00      2.379e+02
 911   1038   8825    1.88721960e+01   1.3e-02     1.0e+00      2.379e+02
 912   1039   8835    1.88720011e+01   3.5e-03     1.0e+00      2.380e+02
 913   1040   8845    1.88718062e+01   1.4e-02     1.0e+00      2.380e+02
 914   1041   8855    1.88716114e+01   3.5e-03     1.0e+00      2.380e+02
 915   1042   8865    1.88714166e+01   1.4e-02     1.0e+00      2.381e+02
 916   1043   8875    1.88712220e+01   3.5e-03     1.0e+00      2.381e+02
 917   1044   8885    1.88710272e+01   1.4e-02     1.0e+00      2.382e+02
 918   1045   8895    1.88708325e+01   3.4e-03     1.0e+00      2.382e+02
 919   1046   8905    1.88706378e+01   1.4e-02     1.0e+00      2.383e+02
 920   1047   8915    1.88704433e+01   3.4e-03     1.0e+00      2.383e+02
 921   1048   8925    1.88702486e+01   1.4e-02     1.0e+00      2.384e+02
 922   1049   8935    1.88700541e+01   3.4e-03     1.0e+00      2.384e+02
 923   1050   8945    1.88698595e+01   1.4e-02     1.0e+00      2.384e+02
 924   1051   8955    1.88696650e+01   3.4e-03     1.0e+00      2.385e+02
 925   1052   8965    1.88694703e+01   1.4e-02     1.0e+00      2.385e+02
 926   1053   8975    1.88692758e+01   3.4e-03     1.0e+00      2.386e+02
 927   1054   8985    1.88690811e+01   1.4e-02     1.0e+00      2.386e+02
 928   1055   8995    1.88688865e+01   3.4e-03     1.0e+00      2.387e+02
 929   1056   9005    1.88686916e+01   1.4e-02     1.0e+00      2.387e+02
 930   1057   9015    1.88684970e+01   3.4e-03     1.0e+00      2.387e+02
 931   1058   9025    1.88683020e+01   1.4e-02     1.0e+00      2.388e+02
 932   1059   9035    1.88681072e+01   3.4e-03     1.0e+00      2.388e+02
 933   1060   9045    1.88679120e+01   1.4e-02     1.0e+00      2.389e+02
 934   1061   9055    1.88677170e+01   3.4e-03     1.0e+00      2.389e+02
 935   1062   9065    1.88675216e+01   1.5e-02     1.0e+00      2.390e+02
 936   1063   9075    1.88673263e+01   3.3e-03     1.0e+00      2.390e+02
 937   1064   9085    1.88671305e+01   1.5e-02     1.0e+00      2.391e+02
 938   1065   9095    1.88669348e+01   3.3e-03     1.0e+00      2.391e+02
 939   1066   9105    1.88667386e+01   1.5e-02     1.0e+00      2.391e+02
 940   1067   9115    1.88665425e+01   3.3e-03     1.0e+00      2.392e+02
 941   1068   9125    1.88663455e+01   1.5e-02     1.0e+00      2.392e+02
 942   1069   9135    1.88661488e+01   3.2e-03     1.0e+00      2.393e+02
 943   1070   9145    1.88659510e+01   1.6e-02     1.0e+00      2.393e+02
 944   1071   9155    1.88657534e+01   3.2e-03     1.0e+00      2.393e+02
 945   1072   9165    1.88655543e+01   1.6e-02     1.0e+00      2.394e+02
 946   1073   9175    1.88653554e+01   3.1e-03     1.0e+00      2.394e+02
 947   1074   9185    1.88651547e+01   1.6e-02     1.0e+00      2.395e+02
 948   1075   9195    1.88649543e+01   3.1e-03     1.0e+00      2.395e+02
 949   1076   9205    1.88647515e+01   1.7e-02     1.0e+00      2.396e+02
 950   1077   9215    1.88645490e+01   3.0e-03     1.0e+00      2.396e+02
 951   1078   9225    1.88643434e+01   1.8e-02     1.0e+00      2.397e+02
 952   1079   9235    1.88641379e+01   3.0e-03     1.0e+00      2.397e+02
 953   1080   9245    1.88639284e+01   1.9e-02     1.0e+00      2.398e+02
 954   1081   9255    1.88637192e+01   2.9e-03     1.0e+00      2.398e+02
 955   1082   9265    1.88635043e+01   2.1e-02     1.0e+00      2.399e+02
 956   1083   9271    1.88633524e+01   2.8e-03     1.0e+00      2.399e+02
 957   1084   9281    1.88615045e+01   9.1e-03     1.0e+00      2.407e+02
 958   1085   9284    1.88598284e+01   1.7e-02     1.0e+00      2.407e+02
 959   1086   9288    1.88597007e+01   2.5e-03     1.0e+00      2.407e+02
 960   1087   9298    1.88588263e+01   1.1e-02     1.0e+00      2.410e+02
 961   1088   9301    1.88581232e+01   9.2e-03     1.0e+00      2.410e+02
 962   1089   9308    1.88579544e+01   2.3e-03     1.0e+00      2.410e+02
 963   1090   9318    1.88570301e+01   1.4e-02     1.0e+00      2.414e+02
 964   1091   9321    1.88562823e+01   1.0e-02     1.0e+00      2.414e+02
 965   1092   9328    1.88561101e+01   2.2e-03     1.0e+00      2.414e+02
 966   1093   9338    1.88554560e+01   1.7e-02     1.0e+00      2.417e+02
 967   1094   9342    1.88549546e+01   5.5e-03     1.0e+00      2.417e+02
 968   1095   9351    1.88547771e+01   2.6e-03     1.0e+00      2.417e+02
 969   1096   9361    1.88544665e+01   1.5e-02     1.0e+00      2.418e+02
 970   1097   9363    1.88543158e+01   8.8e-03     1.0e+00      2.418e+02
 971   1098   9371    1.88541589e+01   2.5e-03     1.0e+00      2.419e+02
 972   1099   9381    1.88512911e+01   5.1e-02     1.0e+00      2.431e+02
 973   1100   9384    1.88487452e+01   2.0e-02     1.0e+00      2.431e+02
 974   1101   9389    1.88485010e+01   2.0e-03     1.0e+00      2.431e+02
 975   1102   9399    1.88481128e+01   9.7e-03     1.0e+00      2.432e+02
 976   1103   9403    1.88478369e+01   5.1e-03     1.0e+00      2.432e+02
 977   1104   9413    1.88476457e+01   4.4e-03     1.0e+00      2.433e+02
 978   1105   9423    1.88474504e+01   1.2e-02     1.0e+00      2.433e+02
 979   1106   9433    1.88472584e+01   3.7e-03     1.0e+00      2.433e+02
 980   1107   9443    1.88470660e+01   1.2e-02     1.0e+00      2.434e+02
 981   1108   9453    1.88468740e+01   3.4e-03     1.0e+00      2.434e+02
 982   1109   9463    1.88466314e+01   1.8e-02     1.0e+00      2.435e+02
 983   1110   9467    1.88465182e+01   3.5e-03     1.0e+00      2.435e+02
 984   1111   9477    1.88460318e+01   2.0e-02     1.0e+00      2.437e+02
 985   1112   9480    1.88457069e+01   8.8e-03     1.0e+00      2.437e+02
 986   1113   9486    1.88455621e+01   2.0e-03     1.0e+00      2.437e+02
 987   1114   9496    1.88450686e+01   7.8e-03     1.0e+00      2.439e+02
 988   1115   9501    1.88446798e+01   5.9e-03     1.0e+00      2.439e+02
 989   1116   9511    1.88444849e+01   4.4e-03     1.0e+00      2.439e+02
 990   1117   9521    1.88443007e+01   4.8e-03     1.0e+00      2.440e+02
 991   1118   9531    1.88441200e+01   3.7e-03     1.0e+00      2.440e+02
 992   1119   9541    1.88439415e+01   4.7e-03     1.0e+00      2.440e+02
 993   1120   9551    1.88437639e+01   3.6e-03     1.0e+00      2.441e+02
 994   1121   9561    1.88435873e+01   4.6e-03     1.0e+00      2.441e+02
 995   1122   9571    1.88434115e+01   3.7e-03     1.0e+00      2.441e+02
 996   1123   9581    1.88432363e+01   4.7e-03     1.0e+00      2.442e+02
 997   1124   9591    1.88430635e+01   3.6e-03     1.0e+00      2.442e+02
 998   1125   9601    1.88428914e+01   5.1e-03     1.0e+00      2.442e+02
 999   1126   9611    1.88427222e+01   3.3e-03     1.0e+00      2.443e+02
1000   1127   9621    1.88425533e+01   5.2e-03     1.0e+00      2.443e+02
1001   1128   9631    1.88423850e+01   3.0e-03     1.0e+00      2.444e+02
1002   1129   9641    1.88422169e+01   5.2e-03     1.0e+00      2.444e+02
1003   1130   9651    1.88420488e+01   2.9e-03     1.0e+00      2.444e+02
1004   1131   9661    1.88418808e+01   5.2e-03     1.0e+00      2.445e+02
1005   1132   9671    1.88417129e+01   2.9e-03     1.0e+00      2.445e+02
1006   1133   9681    1.88415451e+01   5.2e-03     1.0e+00      2.445e+02
1007   1134   9691    1.88413773e+01   3.0e-03     1.0e+00      2.446e+02
1008   1135   9701    1.88412096e+01   5.3e-03     1.0e+00      2.446e+02
1009   1136   9711    1.88410420e+01   3.0e-03     1.0e+00      2.446e+02
1010   1137   9721    1.88408744e+01   5.4e-03     1.0e+00      2.447e+02
1011   1138   9731    1.88407068e+01   3.0e-03     1.0e+00      2.447e+02
1012   1139   9741    1.88405393e+01   5.5e-03     1.0e+00      2.447e+02
1013   1140   9751    1.88403717e+01   3.1e-03     1.0e+00      2.448e+02
1014   1141   9761    1.88402042e+01   5.7e-03     1.0e+00      2.448e+02
1015   1142   9771    1.88400368e+01   3.1e-03     1.0e+00      2.448e+02
1016   1143   9781    1.88398693e+01   5.9e-03     1.0e+00      2.449e+02
1017   1144   9791    1.88397018e+01   3.1e-03     1.0e+00      2.449e+02
1018   1145   9801    1.88395343e+01   6.3e-03     1.0e+00      2.449e+02
1019   1146   9811    1.88393667e+01   3.2e-03     1.0e+00      2.450e+02
1020   1147   9821    1.88391991e+01   6.6e-03     1.0e+00      2.450e+02
1021   1148   9831    1.88390315e+01   3.2e-03     1.0e+00      2.450e+02
1022   1149   9841    1.88388638e+01   7.0e-03     1.0e+00      2.451e+02
1023   1150   9851    1.88386960e+01   3.2e-03     1.0e+00      2.451e+02
1024   1151   9861    1.88385282e+01   7.4e-03     1.0e+00      2.451e+02
1025   1152   9871    1.88383604e+01   3.2e-03     1.0e+00      2.452e+02
1026   1153   9881    1.88381925e+01   7.8e-03     1.0e+00      2.452e+02
1027   1154   9891    1.88380246e+01   3.2e-03     1.0e+00      2.452e+02
1028   1155   9901    1.88378566e+01   8.1e-03     1.0e+00      2.453e+02
1029   1156   9911    1.88376886e+01   3.2e-03     1.0e+00      2.453e+02
1030   1157   9921    1.88375201e+01   8.8e-03     1.0e+00      2.454e+02
1031   1158   9931    1.88373516e+01   3.1e-03     1.0e+00      2.454e+02
1032   1159   9941    1.88371803e+01   1.1e-02     1.0e+00      2.454e+02
1033   1160   9951    1.88370093e+01   3.0e-03     1.0e+00      2.455e+02
1034   1161   9961    1.88367452e+01   1.9e-02     1.0e+00      2.455e+02
1035   1162   9965    1.88366013e+01   7.0e-03     1.0e+00      2.455e+02
1036   1163   9975    1.88362338e+01   9.0e-03     1.0e+00      2.457e+02
1037   1164   9979    1.88359667e+01   2.6e-03     1.0e+00      2.457e+02
1038   1165   9989    1.88357848e+01   4.6e-03     1.0e+00      2.457e+02
1039   1166   9995    1.88356606e+01   2.9e-03     1.0e+00      2.457e+02
1040   1167   10005    1.88351181e+01   7.4e-03     1.0e+00      2.459e+02
1041   1168   10010    1.88346133e+01   4.4e-03     1.0e+00      2.459e+02
1042   1169   10020    1.88236423e+01   2.3e-02     1.0e+00      2.505e+02
1043   1170   10024    1.88129138e+01   1.1e-02     1.0e+00      2.505e+02
1044   1171   10027    1.88128187e+01   1.8e-03     1.0e+00      2.505e+02
1045   1172   10037    1.88116222e+01   1.2e-02     1.0e+00      2.510e+02
1046   1173   10042    1.88105276e+01   9.5e-03     1.0e+00      2.510e+02
1047   1174   10046    1.88104531e+01   5.0e-03     1.0e+00      2.510e+02
1048   1175   10056    1.88101566e+01   9.3e-03     1.0e+00      2.511e+02
1049   1176   10063    1.88099020e+01   1.9e-03     1.0e+00      2.511e+02
