
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 4: 0
====== Angle Number  2 of 4: 60
====== Angle Number  3 of 4: 120
====== Angle Number  4 of 4: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 6
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  63     64    390    2.47793594e+01    2.47793594e+01     5.19044478e-03    1.8e+02     1.0e+00      3.757e-01
  64     65    397    2.47553902e+01    2.47553902e+01     5.18402574e-03    2.8e+02     1.0e+00      3.756e-01
  65     66    401    2.47501912e+01    2.47501912e+01     5.18408578e-03    3.1e+02     1.0e+00      3.755e-01
  66     67    405    2.47471964e+01    2.47471964e+01     5.18395111e-03    1.8e+02     1.0e+00      3.755e-01
  67     68    414    2.47022501e+01    2.47022501e+01     5.17168298e-03    2.1e+02     1.0e+00      3.750e-01
  68     69    424    2.46574663e+01    2.46574663e+01     5.16720299e-03    2.5e+02     1.0e+00      3.749e-01
  69     70    433    2.46161054e+01    2.46161054e+01     5.15629377e-03    4.9e+02     1.0e+00      3.744e-01
  70     71    439    2.45836086e+01    2.45836086e+01     5.15410235e-03    1.4e+02     1.0e+00      3.743e-01
  71     72    443    2.45778316e+01    2.45778316e+01     5.15301129e-03    2.6e+02     1.0e+00      3.743e-01
  72     73    453    2.34166841e+01    2.34166841e+01     4.47579373e-03    6.5e+03     1.0e+00      3.478e-01
  73     74    458    2.17873240e+01    2.17873240e+01     4.48380666e-03    1.9e+03     1.0e+00      3.477e-01
  74     75    467    2.12750193e+01    2.12750193e+01     4.47719597e-03    2.3e+02     1.0e+00      3.476e-01
  75     76    471    2.12672602e+01    2.12672602e+01     4.47729323e-03    1.3e+02     1.0e+00      3.476e-01
  76     77    481    2.08150559e+01    2.08150559e+01     4.29551292e-03    2.7e+03     1.0e+00      3.405e-01
  77     78    486    2.04619213e+01    2.04619213e+01     4.29584608e-03    3.9e+02     1.0e+00      3.404e-01
