
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 1.000000, TempBeta = 0.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  94     95    652    1.11264228e-08    4.48192159e+06     1.11264228e-08    3.2e-07     1.0e+00      6.752e-01
  95     96    662    1.09643383e-08    4.48048188e+06     1.09643383e-08    7.5e-07     1.0e+00      6.751e-01
  96     97    668    1.08451450e-08    4.48013481e+06     1.08451450e-08    5.8e-07     1.0e+00      6.750e-01
  97     98    678    1.07278001e-08    4.47988973e+06     1.07278001e-08    9.1e-07     1.0e+00      6.750e-01
  98     99    688    1.06133258e-08    4.47916651e+06     1.06133258e-08    4.5e-07     1.0e+00      6.749e-01
  99    100    692    1.05919660e-08    4.47957846e+06     1.05919660e-08    2.8e-07     1.0e+00      6.749e-01
 100    101    702    1.03744523e-08    4.47874321e+06     1.03744523e-08    1.2e-06     1.0e+00      6.748e-01
 101    102    705    1.02920729e-08    4.47818074e+06     1.02920729e-08    1.2e-06     1.0e+00      6.748e-01
 102    103    712    1.01700964e-08    4.47786322e+06     1.01700964e-08    2.2e-07     1.0e+00      6.748e-01
 103    104    722    9.81507590e-09    4.47597266e+06     9.81507590e-09    3.0e-06     1.0e+00      6.745e-01
 104    105    725    9.58523213e-09    4.47552187e+06     9.58523213e-09    5.9e-07     1.0e+00      6.745e-01
 105    106    732    9.48651985e-09    4.47481491e+06     9.48651985e-09    2.4e-07     1.0e+00      6.745e-01
 106    107    742    9.01664232e-09    4.47044685e+06     9.01664232e-09    2.1e-06     1.0e+00      6.741e-01
 107    108    744    8.72841701e-09    4.47073306e+06     8.72841701e-09    5.2e-07     1.0e+00      6.741e-01
 108    109    747    8.64556542e-09    4.47093078e+06     8.64556542e-09    9.3e-07     1.0e+00      6.741e-01
 109    110    752    8.59335800e-09    4.47058558e+06     8.59335800e-09    1.7e-07     1.0e+00      6.741e-01
 110    111    755    8.58379044e-09    4.47089559e+06     8.58379044e-09    1.4e-07     1.0e+00      6.741e-01
 111    112    765    8.23757574e-09    4.46787559e+06     8.23757574e-09    1.1e-06     1.0e+00      6.738e-01
 112    113    771    7.94375296e-09    4.46734628e+06     7.94375296e-09    3.9e-07     1.0e+00      6.738e-01
 113    114    775    7.92130984e-09    4.46778398e+06     7.92130984e-09    4.5e-07     1.0e+00      6.738e-01
 114    115    785    7.82176380e-09    4.46692956e+06     7.82176380e-09    8.1e-07     1.0e+00      6.737e-01
 115    116    787    7.78904168e-09    4.46684887e+06     7.78904168e-09    3.6e-07     1.0e+00      6.737e-01
 116    117    795    7.72687804e-09    4.46676738e+06     7.72687804e-09    2.1e-07     1.0e+00      6.737e-01
 117    118    799    7.71610407e-09    4.46637606e+06     7.71610407e-09    2.9e-07     1.0e+00      6.737e-01
 118    119    809    7.30373757e-09    4.46224089e+06     7.30373757e-09    7.6e-07     1.0e+00      6.733e-01
 119    120    815    6.96809888e-09    4.46262727e+06     6.96809888e-09    2.7e-07     1.0e+00      6.733e-01
 120    121    820    6.93005452e-09    4.46235765e+06     6.93005452e-09    2.4e-07     1.0e+00      6.733e-01
 121    122    830    6.86161516e-09    4.46193443e+06     6.86161516e-09    6.4e-07     1.0e+00      6.732e-01
 122    123    833    6.83753306e-09    4.46193631e+06     6.83753306e-09    3.2e-07     1.0e+00      6.732e-01
 123    124    840    6.79877236e-09    4.46183180e+06     6.79877236e-09    1.7e-07     1.0e+00      6.732e-01
 124    125    846    6.78220392e-09    4.46160975e+06     6.78220392e-09    3.0e-07     1.0e+00      6.732e-01
 125    126    856    6.68835621e-09    4.46023321e+06     6.68835621e-09    1.0e-06     1.0e+00      6.731e-01
 126    127    858    6.63484962e-09    4.46035302e+06     6.63484962e-09    6.2e-07     1.0e+00      6.731e-01
 127    128    862    6.60960970e-09    4.46089307e+06     6.60960970e-09    9.9e-08     1.0e+00      6.731e-01
 128    129    872    6.31319937e-09    4.45814107e+06     6.31319937e-09    2.7e-06     1.0e+00      6.728e-01
 129    130    874    6.09072610e-09    4.45791370e+06     6.09072610e-09    3.5e-07     1.0e+00      6.728e-01
 130    131    882    6.03911607e-09    4.45767874e+06     6.03911607e-09    1.9e-07     1.0e+00      6.728e-01
 131    132    892    5.94418660e-09    4.45676162e+06     5.94418660e-09    1.6e-06     1.0e+00      6.727e-01
 132    133    894    5.88987693e-09    4.45651133e+06     5.88987693e-09    3.1e-07     1.0e+00      6.727e-01
 133    134    896    5.88370649e-09    4.45656602e+06     5.88370649e-09    3.1e-07     1.0e+00      6.727e-01
 134    135    902    5.85440826e-09    4.45643292e+06     5.85440826e-09    2.1e-07     1.0e+00      6.727e-01
 135    136    912    5.72757492e-09    4.45506539e+06     5.72757492e-09    7.2e-07     1.0e+00      6.725e-01
 136    137    916    5.64625536e-09    4.45563382e+06     5.64625536e-09    6.2e-07     1.0e+00      6.725e-01
 137    138    924    5.60217544e-09    4.45501695e+06     5.60217544e-09    1.5e-07     1.0e+00      6.725e-01
 138    139    934    5.54199791e-09    4.45476748e+06     5.54199791e-09    4.2e-07     1.0e+00      6.725e-01
 139    140    937    5.51121434e-09    4.45426231e+06     5.51121434e-09    1.6e-07     1.0e+00      6.725e-01
 140    141    947    5.46813565e-09    4.45405750e+06     5.46813565e-09    6.4e-07     1.0e+00      6.724e-01
 141    142    949    5.45749905e-09    4.45411411e+06     5.45749905e-09    1.7e-07     1.0e+00      6.724e-01
 142    143    959    5.40603307e-09    4.45360180e+06     5.40603307e-09    7.3e-07     1.0e+00      6.724e-01
 143    144    966    5.37019073e-09    4.45361642e+06     5.37019073e-09    1.1e-07     1.0e+00      6.724e-01
 144    145    976    5.11601354e-09    4.45104800e+06     5.11601354e-09    1.8e-06     1.0e+00      6.721e-01
 145    146    978    4.99947277e-09    4.45093140e+06     4.99947277e-09    4.1e-07     1.0e+00      6.721e-01
 146    147    983    4.89144755e-09    4.45034306e+06     4.89144755e-09    1.6e-07     1.0e+00      6.721e-01
 147    148    986    4.88383010e-09    4.45055693e+06     4.88383010e-09    2.0e-07     1.0e+00      6.721e-01
 148    149    996    4.79620662e-09    4.44918777e+06     4.79620662e-09    7.5e-07     1.0e+00      6.720e-01
 149    150    998    4.77919336e-09    4.44901981e+06     4.77919336e-09    4.6e-07     1.0e+00      6.720e-01
