
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 6: 0
====== Angle Number  2 of 6: 36
====== Angle Number  3 of 6: 72
====== Angle Number  4 of 6: 108
====== Angle Number  5 of 6: 144
====== Angle Number  6 of 6: 180
>> >> >> >> >> >> ===================== 10
====== With Self Absorption, Transmission Detector Resolution is 16
ans =
   410   300
ans =
    82   300
J1 =
   240
J2 =
    70
J3 =
   300
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  66     67    427    1.74826920e-03    1.42021958e-03     3.28049625e-04    1.9e-02     1.0e+00      3.417e-01
  67     68    432    1.71457705e-03    1.38502967e-03     3.29547382e-04    2.7e-02     1.0e+00      3.413e-01
  68     69    436    1.70810466e-03    1.38198275e-03     3.26121913e-04    1.4e-02     1.0e+00      3.412e-01
  69     70    446    1.61446822e-03    1.27163763e-03     3.42830592e-04    2.6e-02     1.0e+00      3.349e-01
  70     71    451    1.54391052e-03    1.24875295e-03     2.95157567e-04    3.1e-02     1.0e+00      3.345e-01
  71     72    455    1.53387745e-03    1.24041214e-03     2.93465313e-04    1.8e-02     1.0e+00      3.344e-01
  72     73    465    1.49192725e-03    1.21760995e-03     2.74317299e-04    1.8e-02     1.0e+00      3.317e-01
  73     74    470    1.46498937e-03    1.19314901e-03     2.71840360e-04    1.8e-02     1.0e+00      3.315e-01
  74     75    474    1.45862562e-03    1.19007645e-03     2.68549164e-04    1.8e-02     1.0e+00      3.314e-01
  75     76    483    1.41615099e-03    1.13897133e-03     2.77179656e-04    4.2e-02     1.0e+00      3.283e-01
  76     77    490    1.37516443e-03    1.12486870e-03     2.50295723e-04    1.5e-02     1.0e+00      3.277e-01
  77     78    500    1.33345645e-03    1.08506037e-03     2.48396080e-04    3.2e-02     1.0e+00      3.243e-01
  78     79    505    1.30486284e-03    1.06841407e-03     2.36448770e-04    2.3e-02     1.0e+00      3.242e-01
  79     80    515    1.28015738e-03    1.05822493e-03     2.21932444e-04    1.8e-02     1.0e+00      3.229e-01
  80     81    517    1.27659728e-03    1.05729183e-03     2.19305447e-04    2.0e-02     1.0e+00      3.229e-01
  81     82    525    1.25952266e-03    1.03592465e-03     2.23598016e-04    7.7e-03     1.0e+00      3.221e-01
  82     83    532    1.24698805e-03    1.03052363e-03     2.16464419e-04    1.9e-02     1.0e+00      3.216e-01
  83     84    539    1.23735281e-03    1.02606517e-03     2.11287637e-04    8.8e-03     1.0e+00      3.211e-01
  84     85    546    1.22858826e-03    1.01697618e-03     2.11612090e-04    1.9e-02     1.0e+00      3.207e-01
  85     86    553    1.22015533e-03    1.01261757e-03     2.07537762e-04    1.0e-02     1.0e+00      3.203e-01
  86     87    563    1.19063843e-03    9.78402880e-04     2.12235546e-04    1.2e-01     1.0e+00      3.179e-01
  87     88    567    1.17006821e-03    9.74219470e-04     1.95848736e-04    3.4e-02     1.0e+00      3.178e-01
  88     89    577    1.14416843e-03    9.65131564e-04     1.79036869e-04    8.3e-02     1.0e+00      3.158e-01
  89     90    582    1.12495710e-03    9.38141828e-04     1.86815273e-04    5.3e-03     1.0e+00      3.156e-01
  90     91    587    1.12113110e-03    9.41045816e-04     1.80085286e-04    9.0e-03     1.0e+00      3.154e-01
  91     92    597    9.43527923e-04    7.74896089e-04     1.68631835e-04    2.4e-01     1.0e+00      2.997e-01
