
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 10: 0
====== Angle Number  2 of 10: 20
====== Angle Number  3 of 10: 40
====== Angle Number  4 of 10: 60
====== Angle Number  5 of 10: 80
====== Angle Number  6 of 10: 100
====== Angle Number  7 of 10: 120
====== Angle Number  8 of 10: 140
====== Angle Number  9 of 10: 160
====== Angle Number  10 of 10: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 10000000.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
  93     94    746    1.06061904e+04    3.45765080e+03     7.14853962e-04    1.1e+04     1.0e+00      2.046e+00
  94     95    756    1.05647250e+04    3.45139509e+03     7.11332993e-04    1.2e+04     1.0e+00      2.046e+00
  95     96    763    1.05358326e+04    3.43791105e+03     7.09792156e-04    1.1e+04     1.0e+00      2.047e+00
  96     97    773    1.04512175e+04    3.47746096e+03     6.97375652e-04    3.4e+04     1.0e+00      2.049e+00
  97     98    775    1.04203249e+04    3.44123933e+03     6.97908556e-04    1.6e+04     1.0e+00      2.049e+00
  98     99    782    1.03704423e+04    3.40591289e+03     6.96452940e-04    4.9e+03     1.0e+00      2.050e+00
  99    100    792    1.02223120e+04    3.47274752e+03     6.74956446e-04    4.8e+04     1.0e+00      2.055e+00
 100    101    795    1.01172944e+04    3.37391141e+03     6.74338300e-04    2.0e+04     1.0e+00      2.055e+00
 101    102    802    1.00815061e+04    3.35025010e+03     6.73125596e-04    7.5e+03     1.0e+00      2.055e+00
 102    103    812    9.94512205e+03    3.42024364e+03     6.52487842e-04    5.4e+04     1.0e+00      2.061e+00
 103    104    815    9.87116503e+03    3.33859195e+03     6.53257309e-04    2.1e+04     1.0e+00      2.061e+00
 104    105    821    9.81875446e+03    3.29815275e+03     6.52060172e-04    9.7e+03     1.0e+00      2.061e+00
 105    106    831    9.64153949e+03    3.39014108e+03     6.25139841e-04    5.2e+04     1.0e+00      2.069e+00
 106    107    834    9.54303065e+03    3.29569447e+03     6.24733618e-04    2.2e+04     1.0e+00      2.070e+00
 107    108    841    9.47509104e+03    3.23023633e+03     6.24485471e-04    3.6e+03     1.0e+00      2.070e+00
 108    109    851    9.38405588e+03    3.26967054e+03     6.11438534e-04    2.6e+04     1.0e+00      2.074e+00
 109    110    854    9.35242756e+03    3.23532577e+03     6.11710179e-04    1.6e+04     1.0e+00      2.074e+00
 110    111    864    9.29574138e+03    3.19881727e+03     6.09692410e-04    6.4e+03     1.0e+00      2.075e+00
 111    112    874    9.26317549e+03    3.19464854e+03     6.06852695e-04    1.4e+04     1.0e+00      2.076e+00
 112    113    884    9.23322164e+03    3.18529894e+03     6.04792270e-04    1.0e+04     1.0e+00      2.077e+00
 113    114    894    9.20642631e+03    3.18296662e+03     6.02345969e-04    1.5e+04     1.0e+00      2.078e+00
 114    115    899    9.19080839e+03    3.17313819e+03     6.01767020e-04    1.1e+04     1.0e+00      2.078e+00
 115    116    909    9.05681496e+03    3.23471732e+03     5.82209764e-04    3.6e+04     1.0e+00      2.087e+00
 116    117    915    8.94249171e+03    3.12621766e+03     5.81627405e-04    6.9e+03     1.0e+00      2.087e+00
 117    118    925    8.91001924e+03    3.12527754e+03     5.78474170e-04    2.3e+04     1.0e+00      2.088e+00
 118    119    935    8.87955825e+03    3.11252106e+03     5.76703720e-04    7.4e+03     1.0e+00      2.089e+00
 119    120    945    8.85380175e+03    3.10712302e+03     5.74667873e-04    1.3e+04     1.0e+00      2.090e+00
