
                            < M A T L A B (R) >
                  Copyright 1984-2013 The MathWorks, Inc.
                    R2013a (8.1.0.604) 64-bit (glnxa64)
                             February 15, 2013

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> X-ray simulation startup file...
====== Fluorescence Detector Resolution is 5
====== Angle Number  1 of 12: 0
====== Angle Number  2 of 12: 1.636364e+01
====== Angle Number  3 of 12: 3.272727e+01
====== Angle Number  4 of 12: 4.909091e+01
====== Angle Number  5 of 12: 6.545455e+01
====== Angle Number  6 of 12: 8.181818e+01
====== Angle Number  7 of 12: 9.818182e+01
====== Angle Number  8 of 12: 1.145455e+02
====== Angle Number  9 of 12: 1.309091e+02
====== Angle Number  10 of 12: 1.472727e+02
====== Angle Number  11 of 12: 1.636364e+02
====== Angle Number  12 of 12: 180
>> >> >> >> >> >> >> >> >> >> >> >> >> ====== With Self Absorption, Transmission Detector Resolution is 30
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> #######==============Beta= 0.000000, TempBeta = 1.000000 
  it     nf     cg           f             f_xrf             f_xtm            |g|        alpha        error
 118    119   1062    1.54272208e+03    1.54272208e+03     8.85234775e-01    4.7e+03     1.0e+00      1.675e+00
 119    120   1072    1.53261210e+03    1.53261210e+03     8.83127294e-01    3.5e+03     1.0e+00      1.675e+00
 120    121   1082    1.52262780e+03    1.52262780e+03     8.80445814e-01    4.7e+03     1.0e+00      1.674e+00
 121    122   1092    1.51275836e+03    1.51275836e+03     8.78376593e-01    3.4e+03     1.0e+00      1.673e+00
 122    123   1102    1.50301154e+03    1.50301154e+03     8.75741310e-01    4.6e+03     1.0e+00      1.673e+00
 123    124   1112    1.49337583e+03    1.49337583e+03     8.73716566e-01    3.4e+03     1.0e+00      1.672e+00
 124    125   1122    1.48384812e+03    1.48384812e+03     8.71121173e-01    4.5e+03     1.0e+00      1.671e+00
 125    126   1132    1.47442760e+03    1.47442760e+03     8.69133730e-01    3.3e+03     1.0e+00      1.671e+00
 126    127   1142    1.46511747e+03    1.46511747e+03     8.66581466e-01    4.3e+03     1.0e+00      1.670e+00
 127    128   1152    1.45591375e+03    1.45591375e+03     8.64630030e-01    3.2e+03     1.0e+00      1.669e+00
 128    129   1162    1.44682333e+03    1.44682333e+03     8.62124202e-01    4.1e+03     1.0e+00      1.669e+00
 129    130   1172    1.43783351e+03    1.43783351e+03     8.60206418e-01    3.0e+03     1.0e+00      1.668e+00
 130    131   1182    1.42894531e+03    1.42894531e+03     8.57740000e-01    4.0e+03     1.0e+00      1.667e+00
 131    132   1192    1.42015411e+03    1.42015411e+03     8.55857030e-01    3.0e+03     1.0e+00      1.667e+00
 132    133   1202    1.41152276e+03    1.41152276e+03     8.53439965e-01    4.1e+03     1.0e+00      1.666e+00
 133    134   1212    1.40296312e+03    1.40296312e+03     8.51618849e-01    2.9e+03     1.0e+00      1.665e+00
 134    135   1222    1.39452331e+03    1.39452331e+03     8.49241272e-01    4.0e+03     1.0e+00      1.665e+00
 135    136   1232    1.38617239e+03    1.38617239e+03     8.47450947e-01    2.9e+03     1.0e+00      1.664e+00
 136    137   1242    1.37791044e+03    1.37791044e+03     8.45107066e-01    4.1e+03     1.0e+00      1.663e+00
 137    138   1252    1.36973384e+03    1.36973384e+03     8.43344013e-01    2.9e+03     1.0e+00      1.663e+00
 138    139   1262    1.36164267e+03    1.36164267e+03     8.41034024e-01    4.1e+03     1.0e+00      1.662e+00
